trade_date,open,high,low,close,volume
2017-06-01,41.66183849007054,41.92465798227299,41.50776855321095,41.68902587890625,7176800.0
2017-06-02,41.88841992485698,42.46844074868244,41.59840951294426,42.4140625,9523900.0
2017-06-05,42.25998329972887,42.81281656191612,42.151226834999854,42.34154891967773,6807600.0
2017-06-06,42.20560836791992,42.78562906305022,42.12404274159248,42.20560836791992,7806200.0
2017-06-07,42.32342389401728,42.9034445582032,42.25091958239611,42.83094024658203,8026500.0
2017-06-08,42.95781704042886,43.021256576005726,42.53186290967382,42.98500442504883,7936100.0
2017-06-09,43.157204613720886,43.37471410085976,39.341753207011394,40.54711151123047,20477200.0
2017-06-12,40.00333208991172,40.32959453140694,38.35389726430396,40.18458938598633,20623500.0
2017-06-13,40.70118687221245,41.2358942101484,40.13022736897992,40.64680862426758,12330600.0
2017-06-14,40.85525106372218,41.045569718797566,39.30550406000416,39.85833740234375,10697300.0
2017-06-15,39.14236454033262,39.577379998976056,38.81610553924671,39.115177154541016,11523000.0
2017-06-16,39.142374676431686,39.78583845009052,39.024560336029126,39.06987380981445,10775100.0
2017-06-19,39.60457125679119,40.22990533691687,39.54113171781593,40.139278411865234,9649900.0
2017-06-20,40.11207735508928,40.41115235456,39.24204665022033,39.296424865722656,9083700.0
2017-06-21,39.341740138541,39.71331598536032,39.05172989015494,39.53205871582031,9713600.0
2017-06-22,39.59550271837317,39.80394739189339,39.04267299670403,39.27830505371094,7632100.0
2017-06-23,39.37800242514075,40.14834169758228,39.34175027045754,39.95802307128906,13947700.0
2017-06-26,40.30241731438258,40.46554857628444,38.88861419696521,39.19675064086914,10911400.0
2017-06-27,38.97017779093965,39.06080472850528,37.90982810119843,37.964202880859375,12734900.0
2017-06-28,37.97327071079034,38.77079750582287,37.538251695249976,38.689231872558594,14308300.0
2017-06-29,38.381095047129925,38.4807867598398,36.967295360542806,37.55637741088867,12362500.0
2017-06-30,37.89170594972552,38.08202461265751,37.23918086859136,37.43856430053711,10044100.0
