timestamp,code,side,price,qty,reason,pnl,holding_days,holding_bars,return_pct
2019-01-28,ASML.US,sell,159.2047,20.6,target_rebalance,377.6124,25,15.598487108484386,13.01
2019-01-03,AVGO.US,buy,20.195,61.56,signal,0.0,0,0.0,0.0
2019-01-28,AVGO.US,sell,21.5692,61.56,target_rebalance,84.5988,25,15.49056675754195,6.8
2019-01-03,ASML.US,buy,140.874,7.67,signal,0.0,0,0.0,0.0
2019-01-29,ASML.US,sell,161.7076,7.67,target_rebalance,159.794,26,16.598487108484385,14.79
2019-01-03,AVGO.US,buy,20.195,134.65,signal,0.0,0,0.0,0.0
2019-01-29,AVGO.US,sell,22.0467,134.65,target_rebalance,249.3328,26,16.49056675754195,9.17
2019-01-03,AMD.US,buy,18.6471,549.55,signal,0.0,0,0.0,0.0
2019-01-30,AMD.US,sell,21.4685,549.55,target_rebalance,1550.5315,27,16.659033655863702,15.13
2019-01-03,AMD.US,buy,18.6471,605.3,signal,0.0,0,0.0,0.0
2019-01-31,AMD.US,sell,22.997,605.3,target_rebalance,2633.011,28,17.659033655863702,23.33
2019-01-03,AMD.US,buy,18.6471,544.52,signal,0.0,0,0.0,0.0
2019-02-01,AMD.US,sell,24.5854,544.52,target_rebalance,3233.5435,29,18.6590336558637,31.85
2019-01-03,ASML.US,buy,141.7738,17.36,signal,0.0,0,0.0,0.0
2019-02-04,ASML.US,sell,165.4064,17.36,target_rebalance,410.2625,32,19.83512753699654,16.67
2019-01-03,ASML.US,buy,141.7738,15.8,signal,0.0,0,0.0,0.0
2019-02-05,ASML.US,sell,166.6857,15.8,target_rebalance,393.6083,33,20.835127536996534,17.57
2019-01-03,AVGO.US,buy,20.3004,206.03,signal,0.0,0,0.0,0.0
2019-02-05,AVGO.US,sell,22.4268,206.03,target_rebalance,438.1114,33,20.523828974149485,10.47
2019-01-03,TSM.US,buy,30.186,94.59,signal,0.0,0,0.0,0.0
2019-02-05,TSM.US,sell,32.2358,94.59,target_rebalance,193.8901,33,20.67549604658143,6.79
2019-01-03,ASML.US,buy,141.7738,18.65,signal,0.0,0,0.0,0.0
2019-02-06,ASML.US,sell,170.6162,18.65,target_rebalance,537.9113,34,21.835127536996538,20.34
2019-01-03,TSM.US,buy,30.186,6.03,signal,0.0,0,0.0,0.0
2019-02-06,TSM.US,sell,32.6608,6.03,target_rebalance,14.9233,34,21.67549604658143,8.2
2019-01-03,ASML.US,buy,141.7738,9.22,signal,0.0,0,0.0,0.0
2019-02-07,ASML.US,sell,170.1619,9.22,target_rebalance,261.7386,35,22.835127536996534,20.02
2019-01-03,AVGO.US,buy,20.3131,58.94,signal,0.0,0,0.0,0.0
2019-02-07,AVGO.US,sell,22.501,58.94,target_rebalance,128.9552,35,22.403264709145354,10.77
2019-01-03,TSM.US,buy,30.186,60.23,signal,0.0,0,0.0,0.0
2019-02-07,TSM.US,sell,32.6183,60.23,target_rebalance,146.4999,35,22.67549604658143,8.06
2019-01-03,AVGO.US,buy,20.3131,45.53,signal,0.0,0,0.0,0.0
2019-02-08,AVGO.US,sell,22.045,45.53,target_rebalance,78.8524,36,23.40326470914535,8.53
2019-01-03,TSM.US,buy,30.186,58.9,signal,0.0,0,0.0,0.0
2019-02-08,TSM.US,sell,32.0572,58.9,target_rebalance,110.2178,36,23.67549604658143,6.2
