timestamp,AAPL.US
2024-01-02,0.0
2024-01-03,0.9999853544959293
2024-01-04,0.9999851661065234
2024-01-05,0.999985106338644
2024-01-08,0.9999854578872627
2024-01-09,0.9999854248983261
2024-01-10,0.99998550709221
2024-01-11,0.9999854602378166
2024-01-12,0.9999854860450377
2024-01-16,0.9999853050486313
2024-01-17,0.9999852286298797
2024-01-18,0.9999856945609243
2024-01-19,0.9999859133656948
2024-01-22,0.999986082644291
2024-01-23,0.9999861746262968
2024-01-24,0.9999861262919912
2024-01-25,0.9999861027132434
2024-01-26,0.9999859763235178
2024-01-29,0.9999859258554897
2024-01-30,0.9999856496755058
2024-01-31,0.9999853664086416
2024-02-01,0.999985559056683
2024-02-02,0.9999854805790872
2024-02-05,0.9999856221496558
2024-02-06,0.9999857451920982
2024-02-07,0.9999857534705165
2024-02-08,0.9999856710127751
2024-02-09,0.9999857112258383
2024-02-12,0.9999855814329393
2024-02-13,0.9999854170212297
2024-02-14,0.9999853465425307
2024-02-15,0.9999853234306961
2024-02-16,0.9999851986520727
2024-02-20,0.9999851375105983
2024-02-21,0.9999851994646871
2024-02-22,0.9999853640276497
2024-02-23,0.9999852156821867
2024-02-26,0.9999851046953169
2024-02-27,0.9999852245868569
2024-02-28,0.9999851260415843
2024-02-29,0.9999850709081064
2024-03-01,0.9999849803347414
2024-03-04,0.9999845891949412
2024-03-05,0.9999841380735953
2024-03-06,0.9999840442841333
2024-03-07,0.999984032955273
2024-03-08,0.9999841947457213
2024-03-11,0.9999843795571973
2024-03-12,0.9999844228385526
2024-03-13,0.9999842316892528
2024-03-14,0.9999844021297394
2024-03-15,0.9999843677931947
2024-03-18,0.9999844667757855
2024-03-19,0.9999846749644296
2024-03-20,0.9999848971124506
2024-03-21,0.9999842537711874
2024-03-22,0.9999843369433579
2024-03-25,0.9999842058476498
2024-03-26,0.999984099754685
2024-03-27,0.9999844300290326
2024-03-28,0.9999842638718845
2024-04-01,0.9999841296780612
2024-04-02,0.9999840178241141
2024-04-03,0.9999840941301441
