,Group_1,Group_2,Group_3,Group_4,Group_5
2011-01-03,0.9931785269310451,0.9878615642571954,0.9955278724226857,0.9958949247919379,0.9970432709131607
2011-01-04,1.0048807594625833,0.9953904301007732,1.0017368064676584,0.9979632811127839,0.9957279073763864
2011-01-05,1.0047912899982958,0.9916008169559029,1.0004530276953632,0.9988093660201349,0.993211610188462
2011-01-06,1.0070633213590876,0.9914331793333738,0.9966612183914705,0.9991130972075575,0.9917706222447971
2011-01-07,1.0083734572227918,0.9943632961722232,0.9985237635803687,0.998098222144984,0.9902131942082315
2011-01-10,1.0120886634592832,0.9988295831393087,1.0015714099656796,1.0025729144422912,0.9940167349638558
2011-01-11,1.0265176772122935,1.0101718414749024,1.0073429919831918,1.007700994396477,0.9989893409613624
2011-01-12,1.0258837718680929,1.011881779220728,1.006251981716535,1.0081071533189714,0.9976812559796777
2011-01-13,1.0425822478511468,1.021563027804142,1.0151349002590886,1.0135477605692702,1.0007406937107746
2011-01-14,1.0397624951870488,1.02713132745622,1.0224237548788542,1.020153819149193,1.0032571715472778
2011-01-18,1.0148495585147748,1.0100293224850776,1.007846590090167,1.0109171597309792,0.9998862861352379
2011-01-19,1.0025760587714774,1.0045735529451942,1.0050408236512005,1.011223867108678,1.0029290911106616
2011-01-20,1.0026422166558215,1.0062955542538912,1.0051822391534555,1.0112738357460944,1.00158675150997
2011-01-21,1.0106300509917345,1.0145923424960104,1.0151460089538693,1.0168622518198862,1.0044704893736263
2011-01-24,1.0076672618114857,1.013674103904948,1.0179308270336325,1.0189199782708656,1.0077559148278836
2011-01-25,1.0259115914541885,1.019692609352271,1.0238659130139993,1.0254933177061893,1.006343072912112
2011-01-26,1.0359241079839652,1.026181726151948,1.0298928428844079,1.0324610048496798,1.0071111039935638
2011-01-27,1.0097316694011242,1.0057558881743995,1.0087437693695138,1.0136828647734175,0.9943489201252522
2011-01-28,1.0195729982117427,1.0160182597177387,1.017331583274939,1.0181203276208883,0.9949871057366639
2011-01-31,1.0416373490585786,1.0329670890903324,1.0330661264141527,1.0322128738211969,1.0038763593305424
2011-02-01,1.0424837552477895,1.0301001389404232,1.031219508744855,1.0284862705251785,1.0012597432885004
2011-02-02,1.0462091057368341,1.027521873372609,1.0368820087338835,1.033668532930998,1.0059783067877124
