,IC
2011-01-03,0.21712698428580704
2011-01-04,-0.3132442890576259
2011-01-05,0.05926417974257316
2011-01-06,-0.0003582255892500171
2011-01-07,-0.1327103735588018
2011-01-10,-0.039073746032805265
2011-01-11,-0.25692934113440274
2011-01-12,-0.0019314407679753356
2011-01-13,-0.33067024971587955
2011-01-14,0.10878840108441189
2011-01-18,0.5732442196873717
2011-01-19,0.27089741428031144
2011-01-20,-0.05719451238656844
2011-01-21,-0.106480127175817
2011-01-24,0.1601484427220102
2011-01-25,-0.33857335725261084
2011-01-26,-0.21892664521351343
2011-01-27,0.3356438604783991
2011-01-28,-0.3291032366630242
2011-01-31,-0.33062570282967874
2011-02-01,-0.04879011734170742
2011-02-02,0.14189048255201997
2011-02-03,-0.08709245931378397
2011-02-04,-0.3111658826193657
2011-02-07,-0.029017563863303456
2011-02-08,0.14071806524994232
2011-02-09,-0.22399862982142452
2011-02-10,-0.2321744093667361
2011-02-11,-0.17553009536091038
2011-02-14,0.2703418023811531
2011-02-15,-0.18002163813365576
2011-02-16,-0.02917768632538968
2011-02-17,0.17846794435475016
2011-02-18,0.6145638309305133
2011-02-22,0.29736465904418935
2011-02-23,-0.14474701218727512
2011-02-24,-0.36810212208377163
2011-02-25,0.15408678368022005
2011-02-28,0.5580835415674776
2011-03-01,-0.08572054397206197
2011-03-02,-0.37499122267437424
2011-03-03,0.2507422256918791
2011-03-04,0.3492042683171461
2011-03-07,-0.22868441934795739
2011-03-08,0.29781519244483834
2011-03-09,0.3614920850778042
2011-03-10,-0.21883654828875043
2011-03-11,0.009810977566072937
2011-03-14,-0.00019911931618262675
2011-03-15,0.20909591609950554
2011-03-16,-0.24295025030025322
2011-03-17,-0.025759498916024404
2011-03-18,-0.3096966436382425
2011-03-21,0.3524246389850423
2011-03-22,-0.0755472577642201
2011-03-23,-0.13675153556912728
2011-03-24,-0.1399039896748305
2011-03-25,0.0945818348654295
2011-03-28,-0.042378677832366964
2011-03-29,-0.07845460114666482
2011-03-30,-0.0005958415005735781
2011-03-31,0.03820653483018322
2011-04-01,0.09781021845370563
2011-04-04,-0.1038430387301257
2011-04-05,0.13695385050583805
2011-04-06,0.2153472419442029
2011-04-07,0.2454291223475202
2011-04-08,0.20134136399530542
2011-04-11,0.28691964156332306
2011-04-12,0.04427050586668351
2011-04-13,0.1587143618945021
2011-04-14,-0.018171981980916057
2011-04-15,0.2725468069644963
2011-04-18,-0.22318143313976097
2011-04-19,-0.2628929797274625
2011-04-20,-0.20737197459006965
2011-04-21,0.08915778398298271
2011-04-25,-0.07689990204122196
2011-04-26,0.06962301899141204
2011-04-27,0.052050596538395784
2011-04-28,-0.02134925841876721
2011-04-29,0.2620827253648912
2011-05-02,0.35724231278432644
2011-05-03,0.3179806753332125
2011-05-04,-0.03340607023046274
2011-05-05,-0.07424598216340192
2011-05-06,-0.010133956197121168
2011-05-09,-0.20485816364147486
2011-05-10,0.40443504020620463
2011-05-11,0.33422147077155745
2011-05-12,0.3595348939714064
2011-05-13,0.255268311996406
2011-05-16,0.22007665199515986
2011-05-17,-0.38561984223852985
2011-05-18,-0.06012835894435784
2011-05-19,0.2800394659382764
2011-05-20,0.398592435605933
2011-05-23,0.1228112705518216
2011-05-24,-0.40260761817613017
2011-05-25,-0.23361342632689686
2011-05-26,-0.15721953138356407
2011-05-27,-0.13242859051675915
2011-05-31,0.6503292837758305
2011-06-01,-0.26993966093771965
2011-06-02,0.27573488550487507
2011-06-03,0.3998643139508173
2011-06-06,-0.018196272869646746
2011-06-07,0.406666690977608
2011-06-08,-0.16259343689583333
2011-06-09,0.2377777311820871
2011-06-10,0.20470000036579772
2011-06-13,-0.4933917289413399
2011-06-14,0.46169936661383376
2011-06-15,0.22684164582214159
2011-06-16,0.06417586777173749
2011-06-17,0.038269038250893526
2011-06-20,-0.598403984110065
2011-06-21,0.07742005768532423
2011-06-22,-0.22503729114016707
2011-06-23,0.3216116970746335
2011-06-24,-0.23665227629360708
2011-06-27,-0.27429525676565464
2011-06-28,-0.16685933224382726
2011-06-29,-0.2558577697326939
2011-06-30,-0.28690422222569606
2011-07-01,0.10888707764780217
2011-07-05,0.1828507979980086
2011-07-06,-0.5433335629946997
2011-07-07,0.31887086291871525
2011-07-08,0.6298966965459627
2011-07-11,0.40323356957353496
2011-07-12,-0.28599646807704865
2011-07-13,0.43338289485727227
2011-07-14,-0.13174738614761017
2011-07-15,0.310849172837832
2011-07-18,-0.4440865443383541
2011-07-19,-0.04909169769210047
2011-07-20,-0.16749118335518057
2011-07-21,-0.18369017323849557
2011-07-22,0.06249350490098093
2011-07-25,0.08974841259495682
2011-07-26,0.575539389113553
2011-07-27,0.0028715419782285555
2011-07-28,-0.04991153459033755
2011-07-29,0.03162066778401897
2011-08-01,0.6341776226000433
2011-08-02,-0.15556073654047697
2011-08-03,0.6212924994518703
2011-08-04,0.4042035878583044
2011-08-05,0.5983438010606851
2011-08-08,-0.4361457545641553
2011-08-09,0.35217170958954275
2011-08-10,-0.43944032046732395
2011-08-11,-0.02449753284492226
2011-08-12,-0.28021850733919823
2011-08-15,0.5309040784497725
2011-08-16,0.23093183732029562
2011-08-17,0.7539402186059516
2011-08-18,0.4480799182565793
2011-08-19,0.14714974938477662
2011-08-22,-0.5256089201994503
2011-08-23,-0.23770140957610655
2011-08-24,0.2599255144722729
2011-08-25,-0.47562955111234095
2011-08-26,-0.6451807212202277
2011-08-29,0.00842131352517072
2011-08-30,-0.06883143075992496
2011-08-31,0.43641153163865637
2011-09-01,0.6739263015632602
2011-09-02,0.26981196957451276
2011-09-06,-0.6660840123506484
2011-09-07,0.4344131744839868
2011-09-08,0.35405070048183646
2011-09-09,-0.10529177824723737
2011-09-12,-0.37494539300793056
2011-09-13,-0.2591823902982935
2011-09-14,-0.3548054974093644
2011-09-15,0.25937257671547853
2011-09-16,0.38557044679485114
2011-09-19,0.4885382217531455
2011-09-20,0.42755192205600423
2011-09-21,0.5132449559177096
2011-09-22,-0.21252326758286372
2011-09-23,-0.30708154350980515
2011-09-26,-0.29188757362431
2011-09-27,0.5910016522460048
2011-09-28,-0.08681213785118318
2011-09-29,0.6549169077621663
2011-09-30,0.5010574593977789
2011-10-03,-0.623235361007581
2011-10-04,-0.45924160685026943
2011-10-05,-0.4766648950183753
2011-10-06,0.5443441319503005
2011-10-07,-0.6584521938761497
2011-10-10,-0.21713928649168732
2011-10-11,-0.4272176857821129
2011-10-12,0.23717393610526966
2011-10-13,-0.3712663380824869
2011-10-14,0.6426454802471092
2011-10-17,-0.5795885539831822
2011-10-18,0.5777447964077096
2011-10-19,-0.13750400172141683
2011-10-20,-0.2045464161352578
2011-10-21,-0.679884947716951
2011-10-24,0.4670952738177664
2011-10-25,-0.31133102031035065
2011-10-26,-0.6620302734913497
2011-10-27,-0.15369498339739607
2011-10-28,0.6045708300008226
2011-10-31,0.5272097983341922
2011-11-01,-0.45934093517381663
2011-11-02,-0.35322890045534755
2011-11-03,0.048485129667762215
2011-11-04,0.224613522192247
2011-11-07,-0.3261799333651663
2011-11-08,0.7387707869235792
2011-11-09,-0.0878122171147391
2011-11-10,-0.4823444451890003
2011-11-11,0.17299584904076876
2011-11-14,-0.13020482676502426
2011-11-15,0.14280238648402202
2011-11-16,0.4869448202438291
2011-11-17,0.08539835023133975
2011-11-18,0.40440517060713066
2011-11-21,0.1945105564809259
2011-11-22,0.5983657831367346
2011-11-23,0.289978404247714
2011-11-25,-0.6517860357730996
2011-11-28,0.23392925526514965
2011-11-29,-0.7347114353395953
2011-11-30,0.18765889248534146
2011-12-01,-0.2557675416997552
2011-12-02,-0.3617982081957013
2011-12-05,0.20439222670708773
2011-12-06,-0.02914000330439658
2011-12-07,0.6687253813638577
2011-12-08,-0.5397269421411487
2011-12-09,0.5423274881515081
2011-12-12,0.5387208081554598
2011-12-13,0.38032381249132297
2011-12-14,0.1219650315427348
2011-12-15,-0.211891581873794
2011-12-16,0.49750652484346236
2011-12-19,-0.6165692954646127
2011-12-20,0.18642655760495866
2011-12-21,-0.3928664709343787
2011-12-22,0.05946675309985743
2011-12-23,0.26257970853679563
2011-12-27,0.5951724950616838
2011-12-28,-0.46817611933867076
2011-12-29,-0.06177633479245095
2011-12-30,-0.5267420463804581
2012-01-03,-0.05666381281232546
2012-01-04,-0.262824224676465
2012-01-05,0.011447002720636656
2012-01-06,-0.23847747483909215
2012-01-09,-0.4548438863686797
2012-01-10,-0.28664507675196205
2012-01-11,-0.18967295762374523
2012-01-12,0.289956525404645
2012-01-13,0.04319183330763783
2012-01-17,-0.44180827456783095
2012-01-18,-0.36155703476367135
2012-01-19,-0.019857845066645542
2012-01-20,-0.009478012389594236
2012-01-23,-0.3232504686025326
2012-01-24,-0.0008706456867496725
2012-01-25,0.15439084104683443
2012-01-26,-0.3472552144075667
2012-01-27,0.14279461420006584
2012-01-30,0.10914698028003755
2012-01-31,-0.39925997047942086
2012-02-01,-0.10968086643910448
2012-02-02,-0.6034325692870128
2012-02-03,0.02836467904949458
2012-02-06,0.12997109103025786
2012-02-07,-0.2126138547509542
2012-02-08,-0.05885346497221361
2012-02-09,0.4313771450179639
2012-02-10,-0.3319722875523968
2012-02-13,0.2464010817968495
2012-02-14,0.047542735763369606
2012-02-15,-0.4668407505591805
2012-02-16,0.08159052829451229
2012-02-17,0.07836639686505585
2012-02-21,0.2715374380677071
2012-02-22,-0.20976641298364435
2012-02-23,0.19043702812159155
2012-02-24,-0.05832834970869161
2012-02-27,0.03623304185074044
2012-02-28,0.2432807909136269
2012-02-29,-0.2101698979879454
2012-03-01,0.299216130707216
2012-03-02,0.4436124614098817
2012-03-05,0.6317984783597015
2012-03-06,-0.44847500524438866
2012-03-07,-0.39754857664535426
2012-03-08,-0.20639719329134
2012-03-09,0.3649611112685562
2012-03-12,-0.6768872626816339
2012-03-13,0.03327014640558498
