trade_date,open,high,low,close,volume
2017-06-01,122.24021159885908,123.09562448020988,121.98267125573965,123.07722473144533,707400.0
2017-06-02,123.8222509176324,123.97861369206542,122.83808191740194,123.89583587646484,334300.0
2017-06-05,122.2401926368508,123.0956053855092,122.1298222311764,122.4793472290039,519500.0
2017-06-06,121.7435558892931,122.62656155932063,121.72515613671573,121.98269653320312,614500.0
2017-06-07,123.05883604656346,123.6751083889667,122.42419202353608,123.24280548095705,413400.0
2017-06-08,123.7210965736205,124.25457709910776,122.9392825547242,124.18099212646484,312400.0
2017-06-09,123.46354521378626,123.665900361845,118.34031650858324,119.60042572021484,1203900.0
2017-06-12,118.85539371329506,119.17732617609046,115.92125818831435,118.72662353515624,1941400.0
2017-06-13,120.67659412086012,121.4952076697216,119.89478007694684,121.34803771972656,1373900.0
2017-06-14,121.78954469900307,121.91831489348878,118.68983910297833,119.71080780029295,857700.0
2017-06-15,117.61367167595964,117.87120500253704,116.8134510206393,117.34693145751952,1551700.0
2017-06-16,118.83698839017237,119.65560177742564,118.4506778738738,119.23250579833984,925300.0
2017-06-19,120.667384049747,121.24685687338314,120.29026636976486,120.90652465820312,388000.0
2017-06-20,120.15230453827704,120.54780793717872,118.12875308144076,118.18395233154295,604100.0
2017-06-21,118.26674053929304,120.15231508879071,118.19315556759236,119.96834564208984,710600.0
2017-06-22,119.830372912341,120.29946127978046,119.27849268661456,119.59123229980467,660400.0
2017-06-23,122.27703326306192,124.55811130202316,122.24023375886168,123.8406753540039,1276100.0
2017-06-26,124.91677269161076,125.15592725588472,122.9392283010395,123.04959869384766,978400.0
2017-06-27,123.91425357235956,124.0798092275394,121.6791539831464,121.75273895263672,1783600.0
2017-06-28,122.53454099611166,124.4293079453869,121.87229044599091,124.1625747680664,773900.0
2017-06-29,122.02865332838346,122.49774162063484,118.05516405869656,119.20490264892578,1988500.0
2017-06-30,120.59379917265989,120.93411735318963,119.46246016679028,119.85796356201172,899500.0
2017-07-03,120.58459542529503,120.80533626412674,118.956561564433,119.269287109375,427900.0
2017-07-05,119.1037375047516,121.01690440247344,119.05774514937008,120.93411254882812,796200.0
2017-07-06,120.29945937631884,121.2008646664025,119.6648153721415,120.69497680664062,832000.0
2017-07-07,121.25604947925298,122.82888423314895,121.25604947925298,122.23102569580078,588700.0
2017-07-10,123.25198089216096,124.21776414642936,122.80127829753027,123.99700927734376,439700.0
2017-07-11,122.97609639985926,125.14680447156304,122.94850378311358,124.92606353759766,1100900.0
2017-07-12,125.65260769888836,126.51721319979096,125.3490750846422,126.04811096191406,841300.0
2017-07-13,125.79061359903965,126.53565610718756,125.43189566618187,125.87340545654295,484300.0
2017-07-14,126.96793213778416,128.81672086518694,126.82996911405064,128.6971435546875,1164700.0
2017-07-17,129.1570694336082,129.49738766223535,127.94295243410934,128.97311401367188,869900.0
2017-07-18,129.94802107398007,131.8795870405217,129.8100580913234,131.760009765625,1252200.0
2017-07-19,136.69932222783018,138.7228734825385,136.09227088631334,138.54811096191406,2528800.0
2017-07-20,140.02899771064776,141.96975743197902,139.21957707694813,141.48226928710938,2971500.0
2017-07-21,140.81080436048995,141.9697500319506,140.40609406473524,141.91455078125,938400.0
2017-07-24,141.53746160125783,142.10772760273554,140.78322614842725,141.40869140625,1272100.0
2017-07-25,141.9697462545002,141.99733886166774,140.32331250738707,140.47967529296875,974600.0
2017-07-26,140.7280508148389,142.29169301691277,140.64527297685314,142.1353302001953,768800.0
2017-07-27,142.47561862074946,143.23904682601392,139.32993512170464,140.9487762451172,1019400.0
2017-07-28,139.53230231958543,140.6176630788355,139.4863099591693,140.2957305908203,539100.0
2017-07-31,139.56912579492507,140.12099211001637,137.88590616584102,138.272216796875,868100.0
2017-08-01,139.76224878145817,139.900225861418,138.49294666219396,138.8148651123047,391600.0
2017-08-02,140.33253940972605,140.62686527311337,138.25380247405187,138.9068603515625,855200.0
2017-08-03,140.41528695954614,140.5716497337007,139.31154064881662,139.96458435058594,924000.0
2017-08-04,140.36928836685593,140.78319146062034,139.76222301072403,140.67282104492188,491200.0
2017-08-07,141.04993446819793,142.25485825325745,141.04072757723443,142.0341033935547,476000.0
2017-08-08,142.08931999219865,142.7515706827262,140.64525531625506,140.8476104736328,490700.0
2017-08-09,140.41529674532933,141.3994658123955,140.13016378229986,141.24310302734375,547100.0
2017-08-10,140.2313528626188,140.2681383301044,138.05143848057773,138.13421630859375,844800.0
2017-08-11,137.40754516248992,139.2011343908655,137.00283497046803,139.06317138671875,416900.0
2017-08-14,138.7596892665026,141.00398185041635,138.7412895142856,140.36932373046875,552600.0
2017-08-15,139.30232547435358,140.38768600704483,139.20114791651707,140.2313232421875,376800.0
2017-08-16,139.99223547678272,141.76744001466656,139.84506549785834,141.34432983398438,518900.0
2017-08-17,140.5992728958986,140.90280565342405,138.52054999166526,138.5665283203125,486000.0
2017-08-18,139.808222689738,140.36929572377028,138.87003200244388,140.04736328125,688800.0
2017-08-21,139.95537882881086,140.08414898616152,138.83323287122872,139.43109130859375,562600.0
2017-08-22,139.71625884022745,142.39285423995048,139.68866623073737,141.98814392089844,839100.0
2017-08-23,141.55579688398797,141.8317369278048,140.84756808122694,141.0959014892578,532300.0
2017-08-24,140.99478255877526,141.55585573500468,140.4613160298091,141.14195251464844,400200.0
2017-08-25,141.4086933963013,142.3836697486384,141.2339308359958,141.85018920898438,535300.0
2017-08-28,141.3442907988486,141.97894887714713,141.08675042430684,141.75819396972656,261400.0
2017-08-29,141.30750931664286,143.0551067695872,141.18793198405572,142.70558166503906,575500.0
2017-08-30,141.5006543257564,142.84355545842706,141.11434376194924,142.39285278320312,834200.0
2017-08-31,142.49401310622693,144.10364727794928,142.1904804068003,143.77252197265625,787400.0
2017-09-01,144.55434820575658,144.931465861376,143.83691239183946,144.6647186279297,739700.0
2017-09-05,143.40462857048223,143.9105164641218,141.16033612226155,142.39285278320312,493400.0
2017-09-06,143.77251601245348,144.6647143248702,143.3770126548335,143.9288787841797,496400.0
2017-09-07,146.25597668868204,148.0311807968449,145.62133262363864,147.9575958251953,1027800.0
2017-09-08,147.3964999221393,148.1783278445771,146.32953905042768,146.9090118408203,659400.0
2017-09-11,148.18753765615168,149.81557175573073,148.03117486075337,149.7235870361328,698200.0
2017-09-12,148.8865912367119,149.0981533095753,147.95760721356575,148.40830993652344,439400.0
2017-09-13,147.7184298454519,148.08634060566914,147.1665496702302,147.23094177246094,613300.0
2017-09-14,147.81042897622012,148.90498264571187,147.43331125170812,148.48187255859375,525500.0
2017-09-15,149.96271377302443,150.04550562695587,149.14410037003083,149.3832550048828,632300.0
2017-09-18,151.59074984574963,153.79825662855396,151.46197966936995,153.5959014892578,1294000.0
2017-09-19,155.113558450425,155.15955080881923,154.22136003018616,154.7916259765625,992800.0
2017-09-20,154.45133361455694,154.52491859331317,150.5974063159612,151.9403076171875,990200.0
2017-09-21,152.25299999476243,152.77728759079514,151.00208369893855,152.4737548828125,1066000.0
2017-09-22,151.94944849357162,153.09918707786758,151.83907808064558,152.64849853515625,303600.0
2017-09-25,151.65514480073367,151.94027776558178,148.22431426041453,149.0153350830078,849400.0
2017-09-26,148.7118042236621,149.8523501321807,148.04036071404002,149.7971649169922,1180700.0
2017-09-27,150.1098731959385,154.43288765129833,149.9903099217729,153.54989624023438,1253600.0
2017-09-28,154.77323317595253,157.28425863848005,154.6536558565809,156.81517028808594,1477700.0
2017-09-29,156.45643910546775,157.7717333675002,156.01492936438817,157.46820068359375,1677100.0
2017-10-02,156.7231678533572,157.98327687077824,156.16209485383126,157.00830078125,585700.0
2017-10-03,156.78759765625,156.94396045963552,155.9597772422756,156.78759765625,454400.0
2017-10-04,156.33686881138155,157.67975573812757,155.92296569108026,157.45901489257812,861200.0
2017-10-05,155.95058808185027,156.19893561542148,154.39613883470628,155.00320434570312,422300.0
2017-10-06,154.5249095405253,157.21069795073228,154.2489693950803,155.8494110107422,1224200.0
2017-10-09,155.86778921248504,156.96232871441552,155.72061928394254,156.4932403564453,352800.0
2017-10-10,156.61279953650856,157.44979858398438,155.3710762149737,157.44979858398438,522200.0
2017-10-11,157.61535812275702,159.17899973602977,157.35781781162478,159.03182983398438,859100.0
2017-10-12,158.25925748386078,160.86226803143538,158.15807989950633,159.6849365234375,1302000.0
2017-10-13,162.40748137691088,162.6834074112255,161.4968833589879,162.1591339111328,809400.0
2017-10-16,161.70842182709922,162.43506443447802,161.34051111303754,162.4258575439453,743200.0
2017-10-17,161.89239017240752,162.51785527836498,160.49431811889363,162.1959228515625,1055300.0
2017-10-18,161.7360296644652,161.8556069735018,155.09513819535246,157.9556884765625,2715900.0
2017-10-19,160.07122223555135,162.1499447862171,159.51014917947876,161.901611328125,1120100.0
2017-10-20,161.89240015998325,162.08556243496045,160.6782834033564,161.165771484375,1091300.0
2017-10-23,163.6768012082063,164.90012488924805,163.06973579627947,163.7871856689453,1240700.0
2017-10-24,163.5480202570053,164.17348537699317,163.03293959048327,164.1182861328125,614400.0
2017-10-25,164.18267052896877,164.62416621742736,161.62565302951649,163.1341094970703,560000.0
2017-10-26,163.29048847905878,164.2194722987874,162.683423075325,163.55723571777344,427700.0
2017-10-27,163.9527501339717,164.88173401624917,162.92258867759296,164.5782012939453,703800.0
2017-10-30,163.98955738106667,164.4954453187663,163.06976623430342,163.65843200683594,1268300.0
2017-10-31,165.24962860069664,166.45455237678968,165.222035997801,166.252197265625,526400.0
2017-11-01,168.02742912544198,168.30336925866783,165.13928567212756,166.85009765625,941900.0
2017-11-02,166.79491422327928,167.80669004431277,166.3810110364559,167.63192749023438,553700.0
2017-11-03,168.8276559807755,169.83941775047228,167.9446503663201,169.77503967285156,470100.0
2017-11-06,169.22314749374297,170.52005619697616,168.25736411825235,170.08775329589844,503200.0
2017-11-07,168.43210878039602,169.22312953299732,168.38613046231222,168.80003356933594,611700.0
2017-11-08,167.44794313520077,168.12857944725292,166.63852261827833,166.9512481689453,677200.0
2017-11-09,164.16426693350192,164.62416235837662,162.08554466563032,163.73196411132812,685100.0
2017-11-10,164.3758142683902,165.28639814606692,163.89751913942374,165.19442749023438,692000.0
2017-11-13,163.73200350566765,164.80815737461248,163.52964834724403,164.504638671875,415300.0
2017-11-14,165.47039652291477,166.00387699109012,164.3206577643206,165.87510681152344,382800.0
2017-11-15,163.57560729107828,164.3574351557141,162.3890832271682,163.63999938964844,494400.0
2017-11-16,165.2588186608767,167.3283480524078,165.10245590214834,167.20877075195312,1853700.0
2017-11-17,166.73051151106125,166.82248218626808,165.35082506889248,165.86590576171875,553700.0
