timestamp,code,side,price,qty,reason,pnl,holding_days,holding_bars,return_pct
2019-02-21,LRCX.US,sell,16.5671,15.4,target_rebalance,2.4266,8,4.962829645170772,0.96
2019-02-13,MU.US,buy,39.8742,6.64,signal,0.0,0,0.0,0.0
2019-02-21,MU.US,sell,41.3727,6.64,target_rebalance,9.9499,8,5.0,3.76
2019-02-13,NVDA.US,buy,3.7796,134.24,signal,0.0,0,0.0,0.0
2019-02-21,NVDA.US,sell,3.9347,134.24,target_rebalance,20.8147,8,4.914755962787481,4.1
2019-02-13,TSM.US,buy,32.6731,7.59,signal,0.0,0,0.0,0.0
2019-02-21,TSM.US,sell,33.2134,7.59,target_rebalance,4.1009,8,4.955543789105608,1.65
2019-02-13,AMAT.US,buy,37.8459,3.56,signal,0.0,0,0.0,0.0
2019-02-22,AMAT.US,sell,36.1054,3.56,target_rebalance,-6.1961,9,5.860296784199028,-4.6
2019-02-13,AMD.US,buy,23.0048,21.9,signal,0.0,0,0.0,0.0
2019-02-22,AMD.US,sell,24.0259,21.9,target_rebalance,22.3625,9,5.9729994482503,4.44
2019-02-13,ASML.US,buy,169.6205,12.66,signal,0.0,0,0.0,0.0
2019-02-22,ASML.US,sell,170.8572,12.66,target_rebalance,15.6567,9,5.931790733421168,0.73
2019-02-13,TSM.US,buy,32.6731,26.42,signal,0.0,0,0.0,0.0
2019-02-22,TSM.US,sell,33.2559,26.42,target_rebalance,15.3978,9,5.955543789105607,1.78
2019-02-13,AMAT.US,buy,37.8459,1.02,signal,0.0,0,0.0,0.0
2019-02-25,AMAT.US,sell,37.0617,1.02,target_rebalance,-0.7999,12,6.860296784199027,-2.07
2019-02-13,AMD.US,buy,23.0048,67.28,signal,0.0,0,0.0,0.0
2019-02-25,AMD.US,sell,24.985,67.28,target_rebalance,133.225,12,6.9729994482503,8.61
2019-02-13,LRCX.US,buy,16.4015,36.7,signal,0.0,0,0.0,0.0
2019-02-25,LRCX.US,sell,16.5771,36.7,target_rebalance,6.4422,12,6.8203044976065135,1.07
2019-02-13,MU.US,buy,39.8758,36.85,signal,0.0,0,0.0,0.0
2019-02-25,MU.US,sell,42.678,36.85,target_rebalance,103.2623,12,6.991921348993695,7.03
2019-02-13,NVDA.US,buy,3.7796,56.36,signal,0.0,0,0.0,0.0
2019-02-25,NVDA.US,sell,4.0213,56.36,target_rebalance,13.6186,12,6.914755962787481,6.39
2019-02-13,AMAT.US,buy,37.8459,24.26,signal,0.0,0,0.0,0.0
2019-02-26,AMAT.US,sell,36.6996,24.26,target_rebalance,-27.8097,13,7.8602967841990266,-3.03
2019-02-13,AMD.US,buy,23.0048,12.57,signal,0.0,0,0.0,0.0
2019-02-26,AMD.US,sell,24.6253,12.57,target_rebalance,20.3699,13,7.972999448250301,7.04
2019-02-13,ASML.US,buy,169.6449,1.19,signal,0.0,0,0.0,0.0
2019-02-26,ASML.US,sell,171.7843,1.19,target_rebalance,2.5459,13,7.896728175029721,1.26
2019-02-13,AVGO.US,buy,23.1391,25.92,signal,0.0,0,0.0,0.0
2019-02-26,AVGO.US,sell,22.9191,25.92,target_rebalance,-5.7008,13,7.791236876863679,-0.95
2019-02-13,TSM.US,buy,32.6793,12.55,signal,0.0,0,0.0,0.0
2019-02-26,TSM.US,sell,33.5024,12.55,target_rebalance,10.33,13,7.921898129923175,2.52
2019-02-13,AMAT.US,buy,37.8459,3.88,signal,0.0,0,0.0,0.0
2019-02-27,AMAT.US,sell,36.4861,3.88,target_rebalance,-5.2762,14,8.860296784199027,-3.59
2019-02-13,ASML.US,buy,169.6449,4.31,signal,0.0,0,0.0,0.0
2019-02-27,ASML.US,sell,171.6174,4.31,target_rebalance,8.5014,14,8.896728175029722,1.16
2019-02-13,MU.US,buy,39.8974,33.68,signal,0.0,0,0.0,0.0
2019-02-27,MU.US,sell,41.5188,33.68,target_rebalance,54.6074,14,8.87381558748801,4.06
2019-02-13,TSM.US,buy,32.6793,34.91,signal,0.0,0,0.0,0.0
