Date,Open,High,Low,Close,Volume
2017-06-01,29.985462869050412,30.063473754963088,29.527149146804224,29.995214462280273,20534800
2017-06-02,30.034224437334448,30.599803928039883,29.770938811951616,30.434030532836914,20206300
2017-06-05,30.52179302794005,30.97035709845902,30.29751192264385,30.434030532836914,24360800
2017-06-06,30.268260325047933,30.98011005216962,30.102486922574577,30.78508186340332,33125800
2017-06-07,30.91185593688883,31.74072122856809,30.91185593688883,31.691965103149414,32635800
2017-06-08,32.02350665840734,32.04300984931447,31.08737395405825,31.643203735351562,29156500
2017-06-09,31.85772686520914,32.111264591093516,28.81530019356608,29.839195251464844,53064200
2017-06-12,29.312620700698865,30.902095215012466,28.48375379384144,30.424278259277344,46550900
2017-06-13,30.9606048611143,31.43842370672984,30.004970889736292,30.755826950073242,33767900
2017-06-14,30.98986363216019,30.999615228215653,30.082985658196655,30.287763595581055,28935000
2017-06-15,29.712427482019002,30.199996043745166,29.33212459904906,29.800189971923828,33670600
2017-06-16,29.86844985884968,30.229251419971842,29.078589294139512,29.117595672607422,42881700
2017-06-19,29.75143313960174,30.473034370299256,29.57590816404059,30.424278259277344,24915000
2017-06-20,30.61930635163827,30.794831337451104,29.965964382182996,30.063478469848633,25793300
2017-06-21,30.40477614389156,31.35066035447909,30.287758869412418,31.21413803100586,30579000
2017-06-22,31.24339616478892,31.594446145044344,30.970357084598415,31.097124099731445,23050800
2017-06-23,31.097124785136064,31.282403234272962,30.853340484569173,30.941102981567383,45323800
2017-06-26,31.64320897773074,32.14052740876751,31.155640283836135,31.691965103149414,34750700
2017-06-27,31.701705940330715,31.857727729781157,30.82408476961681,30.872840881347656,33221500
2017-06-28,31.272647907948205,31.477425815406832,30.65831232564583,31.43842315673828,28415900
2017-06-29,31.487176902742746,31.5846891218626,29.87819924829612,30.687562942504883,53948400
2017-06-30,31.32140397810231,31.350660621879737,28.971323613279264,29.117595672607422,73308000
2017-07-03,29.341873951955723,29.52715051203721,27.849913597475727,28.41549301147461,36830400
2017-07-05,28.81530355315264,29.80019234961268,28.81530355315264,29.751436233520508,40444600
2017-07-06,29.19560935564357,29.722182495723736,29.1761061645485,29.35163116455078,27143800
2017-07-07,29.468643785366236,29.74168285491936,29.234611094289196,29.449142456054688,22023100
2017-07-10,29.410135284215297,29.82944454188954,29.010329215252987,29.741682052612305,24907900
2017-07-11,29.790439524006693,30.60955488802507,29.75143500472924,30.59005355834961,28530500
2017-07-12,30.98011156141537,30.989863157321413,30.385277230633836,30.668067932128906,22258600
2017-07-13,30.76557380269716,31.05811603954046,30.073227376028083,30.356016159057617,23773000
2017-07-14,30.570553795865038,31.155636530029902,30.482791292743972,30.999614715576172,28887600
2017-07-17,30.88259649727647,31.067873093848398,30.658315378225904,30.931352615356445,22320500
2017-07-18,30.85333858576496,31.11662606055611,30.619305894814993,31.106874465942383,14045000
2017-07-19,31.253146926774214,31.54568734664829,30.86309241363324,31.028865814208984,19984100
2017-07-20,31.13613026754274,31.223892762008518,30.638810085545515,31.204389572143555,23179300
2017-07-21,31.106874210986994,31.3019005218836,30.833837003746456,31.21413803100586,21146600
2017-07-24,31.204388335217093,31.214138069836544,30.716819767479326,30.882593154907227,17415500
2017-07-25,30.034222066630793,30.063476849331515,28.91281476873973,29.156599044799805,51216400
2017-07-26,29.10784640844634,29.302872736620742,28.94207300653844,29.06884002685547,26387400
2017-07-27,29.517404429448625,30.52179458704925,28.932321718849494,29.488149642944336,38967000
2017-07-28,29.215105026640902,29.2346082139574,28.239967979931773,28.552013397216797,31854900
2017-07-31,28.698287571144025,28.815302991454892,27.177074087616738,27.42085838317871,41112700
2017-08-01,27.518370142419887,28.220470091973272,27.138067243029496,27.635387420654297,28221600
2017-08-02,28.239969916739277,28.698285550478484,27.518368675875443,27.918174743652344,27226000
2017-08-03,27.684145483193355,27.693897078726355,26.923539630886033,27.13806915283203,30288400
2017-08-04,27.167318561737833,27.59637752069883,26.591987558662638,27.225826263427734,23947500
2017-08-07,27.235580998849414,27.898674560915193,27.108812127316916,27.87917137145996,16589300
2017-08-08,27.898674226002406,28.610523893234273,27.898674226002406,28.122955322265625,21903300
2017-08-09,27.80115789371917,28.1717091593502,27.654887706231303,27.869417190551758,14181800
2017-08-10,27.59637908192854,27.674389975237204,26.748010849687603,26.8065185546875,26147600
2017-08-11,26.757763141608514,27.342845786644006,26.182432090981703,27.31359100341797,23375900
2017-08-14,28.103454227834497,28.630029216495473,28.00594013438691,28.513011932373047,25254600
2017-08-15,28.766546923989072,29.068838930207484,28.415496942621516,28.94207191467285,23973600
2017-08-16,29.273618019197063,30.092733383219844,29.21510845039077,29.926959991455078,37879500
2017-08-17,29.56615499832095,29.77093474556644,28.873808586992723,28.883560180664062,26152500
2017-08-18,29.215102887910678,29.839191816867157,29.020076608801794,29.62466049194336,31178100
2017-08-21,29.770940382063372,29.839199690759884,28.55201884126376,28.825056076049805,26247700
2017-08-22,29.107847495334106,29.78069272348748,29.029836589166088,29.692930221557617,18821200
2017-08-23,29.22486292462278,29.975719058944172,29.127350686857792,29.692930221557617,21200400
2017-08-24,29.790440292857042,29.868451193351834,29.361381270098967,29.468645095825195,18056800
2017-08-25,29.54665883945782,29.63442134345026,29.302874519462534,29.536909103393555,13929800
2017-08-28,29.673419912876966,30.43402560060254,29.66366831945404,30.30725860595703,22531000
2017-08-29,29.985465585141004,30.74607318663028,29.93670947450158,30.697315216064453,23151900
2017-08-30,30.863089753584738,30.89234453702137,30.599802282434492,30.824085235595703,17467900
2017-08-31,30.824088428195164,31.223894543606587,30.69731954676618,31.17513656616211,25694000
2017-09-01,31.33115872617327,32.062511613302455,31.33115872617327,31.789470672607422,26034000
2017-09-05,31.643199083369893,31.92598973016925,30.86308830111146,31.272645950317383,28866600
2017-09-06,31.272650432633508,31.886987924458715,31.26290069714251,31.44817543029785,29290200
2017-09-07,31.662705015473964,32.08201429503948,31.643201825743812,31.974748611450195,25353300
2017-09-08,31.98450027659308,32.19903165671821,31.506685118854953,31.643203735351562,19649300
2017-09-11,32.08201411728189,32.608585357666016,31.99425162390902,32.608585357666016,31012100
2017-09-12,32.85237718961434,33.68124619948595,32.725612007750684,33.437461853027344,38685800
2017-09-13,33.700742802038874,33.93477364574672,33.17416782391643,33.72999572753906,41588100
2017-09-14,33.573965700558304,33.98352143664546,33.44719685468988,33.720237731933594,23007000
2017-09-15,33.77875591265263,34.129805940358615,33.52522184811699,33.788509368896484,37417300
2017-09-18,34.2565662216312,34.90990627130397,34.14930054903353,34.54910659790039,41330100
2017-09-19,34.61736284625009,35.20244354725985,34.61736284625009,35.056175231933594,26392200
2017-09-20,35.13418944057273,35.69001730450622,34.46134616314086,35.07568359375,42243000
2017-09-21,35.03668077265883,35.34872438689975,34.5198592340448,35.01717758178711,22464900
2017-09-22,34.714883023076275,35.319470768697315,34.714883023076275,35.17319869995117,21559800
2017-09-25,35.143941185256885,35.25120685901751,33.68123556819977,34.003028869628906,35607200
2017-09-26,34.35408989899606,34.49060853879965,33.24243386647665,33.330196380615234,55112600
2017-09-27,35.35848084399199,36.226356263425224,35.02693397585289,36.1678466796875,84593900
2017-09-28,36.226346133587356,37.503773402566424,35.90454909279378,37.016204833984375,52569900
2017-09-29,37.03570507180543,38.381395255415235,36.86993355722698,38.352142333984375,48711400
2017-10-02,38.61543359207719,39.36628972057107,38.381402735316186,39.01523971557617,54244800
2017-10-03,38.93723575418453,39.532070149224005,38.85922297850872,39.366294860839844,27322300
2017-10-04,39.14200120860831,39.42479185032906,37.94258306459066,38.57642364501953,37908400
2017-10-05,38.81045301898088,38.86896257988099,38.27412839688046,38.391143798828125,22501000
2017-10-06,38.030349009717234,38.68368911743164,37.84507428958622,38.68368911743164,25150300
2017-10-09,38.732451796262225,39.970876519318956,38.634935841777455,39.941619873046875,27279300
2017-10-10,40.419442451479405,40.95576723076874,39.45405487287568,40.93626403808594,48214100
2017-10-11,39.82460619810999,41.02402459209629,39.785599814601454,40.575462341308594,53023600
2017-10-12,40.185401543677976,40.71197650379721,39.288277140381254,39.571067810058594,66789800
2017-10-13,39.766091581570265,40.14639447293253,39.31752938764826,39.39554214477539,35371200
2017-10-16,39.86361217966543,40.53645554906256,39.50280871562978,40.45844650268555,33696800
2017-10-17,40.11714469464036,40.37068245533118,39.249273162740145,39.38579177856445,41233700
2017-10-18,40.01962954917253,40.90700420733092,39.795348450940516,40.614463806152344,43528000
2017-10-19,40.1561443489,40.4681879098941,38.810454167205016,40.28291320800781,47676000
2017-10-20,40.95576164521367,41.12153318062907,40.409683484130355,40.46819305419922,36293700
2017-10-23,40.80948599703437,41.14103275860965,40.370677279529794,40.52669906616211,26844200
2017-10-24,40.70221519009801,40.96549887540659,40.39992141679837,40.56569290161133,26299400
2017-10-25,40.28291160466785,40.5559487797071,39.307774585410506,40.039127349853516,31061100
2017-10-26,40.14640031308004,40.15615376906628,39.30778537108701,39.590572357177734,27453500
2017-10-27,39.580816566878234,39.92211307712205,39.04449188512953,39.8343505859375,31094700
2017-10-30,39.71733569337129,40.819241714992046,39.66857957981703,40.614463806152344,29119500
2017-10-31,41.19953711392118,43.4618545939495,41.15078100923613,43.20832061767578,61972200
2017-11-01,43.6763868290643,44.20296169828795,42.69149638256979,43.276580810546875,38842900
2017-11-02,42.9840491276947,43.63738925957105,42.63299914406131,43.23758316040039,25813000
2017-11-03,43.6568880818582,43.8811691667727,42.27219147604992,42.62324142456055,27694600
2017-11-06,42.759771166685596,42.915792993370125,41.39458111315936,42.17469024658203,28841000
2017-11-07,42.496473443197,43.14006373254105,42.252689186326485,42.85727310180664,32422900
2017-11-08,42.759766542300056,43.04255723503682,42.36971387769904,42.99380111694336,19519600
2017-11-09,42.60374703675632,42.60374703675632,41.5213477650668,42.41847229003906,32501100
2017-11-10,42.67200833224928,43.73490818091074,42.623252209253636,43.666648864746094,33840800
2017-11-13,43.22783420754618,44.72954268047815,43.0913118737767,44.46625518798828,30522300
2017-11-14,44.44675393806407,44.85630976341797,43.686144416923405,44.66128158569336,29899200
2017-11-15,44.066455855004904,44.60278437761917,43.510627858708126,44.23223114013672,22434500
2017-11-16,44.59302118950983,45.139099329796196,44.16396218490461,45.03183364868164,24192600
