Date,Open,High,Low,Close,Volume
2017-06-01,28.382275975194137,28.557178691094556,28.24712070592358,28.533329010009766,6016100
2017-06-02,28.549229273999707,28.803635976699955,28.50152687995574,28.763885498046875,5779200
2017-06-05,29.065996722557863,29.153446568889525,28.859289366002514,28.93084144592285,4819600
2017-06-06,28.92289599809056,29.081900975996028,28.81159342338704,28.962646484375,5028000
2017-06-07,29.0898534898266,29.18525527536654,28.922899606939687,28.986499786376953,6537700
2017-06-08,29.217051706287176,29.336306191664754,29.050097852972605,29.280654907226562,7593900
2017-06-09,29.08190451211222,29.17730629734848,27.984773367207,28.45383644104004,12040100
2017-06-12,28.45383051432667,28.45383051432667,27.833711457536825,28.016569137573242,11057000
2017-06-13,28.19146541063802,28.294819068555103,28.02451160130279,28.27096939086914,4969400
2017-06-14,28.19941563704867,28.437921497931757,28.1199116615766,28.342519760131836,7016400
2017-06-15,27.913217714823137,28.199426066846055,27.833713709945837,28.175573348999023,4623300
2017-06-16,28.517427444458008,28.581030635995823,28.398176009475254,28.517427444458008,7432400
2017-06-19,28.72413482648719,28.906989453277028,28.676432432763583,28.787734985351562,4523700
2017-06-20,29.03418663454868,29.209092341603924,28.716176809496677,28.72412872314453,4987400
2017-06-21,28.787732787520373,29.240894878612615,28.787732787520373,29.185243606567383,6329400
2017-06-22,29.19319552129777,29.352197422703078,29.121643452558633,29.185243606567383,6273400
2017-06-23,29.1931943831169,29.240893738572048,29.050090251217952,29.201143264770508,5558600
2017-06-26,29.914524808611656,29.980200353343033,29.487643162604698,29.6600399017334,10127200
2017-06-27,29.380934532719003,29.380934532719003,28.707775641012255,28.806285858154297,8081100
2017-06-28,28.954047654836938,29.052557854644895,28.527165946892072,29.01972007751465,8306200
2017-06-29,28.921214783318813,28.921214783318813,28.346566112398797,28.576427459716797,7332200
2017-06-30,28.60105946759469,28.80629094967227,28.48613033868467,28.699569702148438,5177500
2017-07-03,28.76523622655727,28.871954308910812,28.59284258744809,28.633888244628906,4470600
2017-07-05,28.79807531108887,28.79807531108887,28.428658116540557,28.584632873535156,9222200
2017-07-06,28.32193183898926,28.43686091641312,28.16595710985438,28.321931838989258,6493700
