,Group_1,Group_2,Group_3,Group_4,Group_5
2011-01-03,0.9960009525365338,0.9969626099885897,0.9942649786819313,0.9901558069312526,0.9921067767284228
2011-01-04,1.0053966789739144,1.0005537937308526,0.9960861055596069,0.9925186635778868,1.0012072123804812
2011-01-05,1.0085586159922486,0.9992739012885192,0.9948778935479567,0.9896346090630844,0.9965590484587147
2011-01-06,1.0084306372796557,0.9977948163586079,0.9949608792362616,0.9880359187051543,0.9968807456439326
2011-01-07,1.0098507623297932,0.9967760235075203,0.9927014472942688,0.9881263995834634,1.0021939735646233
2011-01-10,1.0157367867642577,1.0009622542130252,0.9975646499057483,0.9930268787262342,1.0018334198969012
2011-01-11,1.0271031777864628,1.0108091375330717,1.0060853627569022,0.9995820931706878,1.0072014817918857
2011-01-12,1.025689420460005,1.01171463897541,1.0060271214521748,0.9984019909725511,1.0080212744437866
2011-01-13,1.0376658981986873,1.0199821560691722,1.0127687913998527,1.0072540143559452,1.0158584943890534
2011-01-14,1.039420626043403,1.0245438462814092,1.0177789123919232,1.0131988844319346,1.0177825696864173
2011-01-18,1.0234434598287443,1.0127823705128245,1.0076288217350766,0.9980165424378534,1.0019295647140682
2011-01-19,1.024866079587909,1.0127452520939508,1.007707838866936,0.9952568238955591,0.9861391516468897
2011-01-20,1.0277947211398215,1.012490679510515,1.0086863326235018,0.9951694196218523,0.9832884331611254
2011-01-21,1.0343247742392345,1.0199313483099317,1.0177189032494622,1.002164070360001,0.9880700004833254
2011-01-24,1.0346687517076996,1.019224165026908,1.0201554725026696,1.004786947959137,0.987587425555912
2011-01-25,1.0377263605923643,1.0223778915741888,1.0267209995610063,1.013500124047708,1.0013604843828035
2011-01-26,1.042802737439498,1.0283612824399009,1.0289111495907988,1.021195162554969,1.010528484123515
2011-01-27,1.0237120878290067,1.0090274344752421,1.0112790289639686,1.0032899733400436,0.9853774538091493
2011-01-28,1.0280492904270275,1.0132150099564563,1.0184019091576009,1.0127007457836579,0.9939879416732669
2011-01-31,1.0433086570499064,1.0285549918073584,1.0333164373281418,1.0279948468865698,1.01080155885148
2011-02-01,1.0415493559344977,1.025108957776756,1.0308603120504711,1.0269226573429502,1.0093046642006507
2011-02-02,1.0428508284316138,1.0280496352811175,1.0332595122196309,1.0334380286655478,1.0128882611410488
2011-02-03,1.046829139335064,1.030000311725493,1.035252348645281,1.0389000213403885,1.0226915742903415
2011-02-04,1.0525131057928796,1.0357612399633012,1.038446595092775,1.0473469917360592,1.0298742026975336
2011-02-07,1.05682880619,1.039587271393374,1.043542891816078,1.0509477505664897,1.0376272923342573
2011-02-08,1.053707177066426,1.0357151637768678,1.0404267154602898,1.0520193295599096,1.0370262395282668
2011-02-09,1.0527310341625147,1.0364257854059642,1.0439675749904818,1.0577464967643369,1.0420244388141449
2011-02-10,1.0559701224325269,1.0431204435269876,1.0474321008405623,1.0661129712981243,1.0563334265532127
2011-02-11,1.0542274519428239,1.044109187564276,1.0479525484504875,1.0690711219026088,1.0606408520204025
2011-02-14,1.050404854095001,1.0414331422647134,1.0482256482561254,1.0647829152406674,1.0541089724454717
2011-02-15,1.0548132671388075,1.0476376484342758,1.0566424670620926,1.0736538614995859,1.0621329039349212
2011-02-16,1.0626208929466265,1.050936261887183,1.062659890241668,1.0786591089948196,1.0623570796890844
2011-02-17,1.0653109700622863,1.0574065624739926,1.0671237912620795,1.080870805421924,1.063240267776339
2011-02-18,1.0406041822309688,1.0358856361336732,1.0495768890621366,1.0514581158158625,1.029467419220573
2011-02-22,1.0289191477147472,1.026676184947457,1.0401167687686974,1.0392855911607348,1.0098599079825896
2011-02-23,1.0289771658077382,1.0277631851785747,1.039126174524734,1.0417730350904453,1.0182773234324916
2011-02-24,1.0426398877430383,1.038788994197003,1.0520565213813442,1.0592869392390865,1.0370869785333343
2011-02-25,1.0456159890948857,1.04373315633019,1.059901444089933,1.065176615833663,1.0342204143835754
2011-02-28,1.0318537552948108,1.0295773402499038,1.0430829608889027,1.0445928671889644,1.013745041959944
2011-03-01,1.034493948707205,1.0311946733522874,1.0448322416753875,1.0466425900390564,1.020789842916963
2011-03-02,1.0512851961067708,1.0498098973492322,1.0632449617106814,1.0674587876818427,1.0439650343544793
2011-03-03,1.042885841204129,1.042577245288219,1.0572157283314323,1.0606192390596325,1.0410594676311946
2011-03-04,1.0383590234625188,1.0349701035165473,1.048332020363216,1.0490354164549174,1.0241378513029524
2011-03-07,1.0538995046877604,1.0481899315059773,1.0604852590045788,1.0603199882736924,1.0340395501588266
2011-03-08,1.055264332851194,1.0492177039526935,1.0595380122683686,1.0576855911666723,1.0267373038091194
2011-03-09,1.0392942294875251,1.029126445867455,1.04086395533771,1.037412606898991,1.0065068918867655
2011-03-10,1.04470656629836,1.0363972973649451,1.0488216768514493,1.0450645534970513,1.014475336396582
2011-03-11,1.035751550139916,1.0271636603817307,1.0414146110023488,1.0386603492313107,1.0077965856863254
2011-03-14,1.024284413214279,1.0164556175588924,1.0316705713543812,1.0307501612209138,0.9993705425825627
2011-03-15,1.0088710172049442,1.0001989697754519,1.0157186910165232,1.0144118717848531,0.9853462284987635
2011-03-16,1.0159412268532528,1.0104955443762087,1.0245426400163604,1.0263593130864432,0.9930368923748563
2011-03-17,1.0244033273956754,1.0190257510359926,1.0300662234031528,1.0341223935045611,0.9940009498713722
2011-03-18,1.0362255084791616,1.0315935379497265,1.0420810094650803,1.0512887601602623,1.0171897401683423
2011-03-21,1.034766207654456,1.028000693349028,1.037785584572988,1.044366984293794,1.0087571736895264
2011-03-22,1.0386793565946568,1.0290151414226119,1.0389865644753131,1.0490401039076993,1.0148462445549522
2011-03-23,1.0484774025895696,1.0384062811051482,1.047425595487319,1.0605101679178577,1.0291251143812095
2011-03-24,1.0501343898402773,1.0400924803229286,1.052515499397842,1.0657737900336044,1.0357871732924118
2011-03-25,1.049541463379193,1.0368419365312425,1.0484819207424396,1.063562429715846,1.0348364876234688
2011-03-28,1.053645388357454,1.0447366528382125,1.0555594908323325,1.0716498975369215,1.0473390963369638
2011-03-29,1.061607353301672,1.0531148902842014,1.0644968476245835,1.0808146597168247,1.056608844112868
2011-03-30,1.0595478433292407,1.0528837911778541,1.065181738230411,1.082648706455364,1.0584760102251591
2011-03-31,1.0669534196715396,1.059303546785065,1.071030429581316,1.0901808293695778,1.0634688934112344
2011-04-01,1.066966894566625,1.0603339197160273,1.0720759027141211,1.0910799289810902,1.0648700071653312
2011-04-04,1.068888357193225,1.0587482030119866,1.0693777605717543,1.0916020291192678,1.0674450026085527
2011-04-05,1.078635598337548,1.0653988143153956,1.0724064225571368,1.0917307689881797,1.0646727562714753
2011-04-06,1.0766917070310718,1.0612988116548083,1.069478594237941,1.0876102594419501,1.0598938452725968
2011-04-07,1.0733398751020244,1.0542533961316214,1.0637690793595085,1.0795312294299952,1.0512323250744395
2011-04-08,1.0701172862843409,1.052411608029182,1.0602126493947044,1.078314345307583,1.0456203563786521
2011-04-11,1.0660208200259182,1.0476880227239227,1.0548532361217735,1.0701546666303505,1.035615306332935
2011-04-12,1.0625350534376936,1.0466109638534338,1.05517190247088,1.072639606018702,1.0468922686813666
2011-04-13,1.0605575288419744,1.048402663964647,1.0566087592359241,1.0759323527848081,1.0468278474914743
2011-04-14,1.0643427447693141,1.0536392358552304,1.0636105182861777,1.0840532764383783,1.052319698173811
2011-04-15,1.0524890578671613,1.0426387931425953,1.0505962637542907,1.0702022232433555,1.03848009960012
2011-04-18,1.0549365834737092,1.0469245489249273,1.0551356929476847,1.075133049842059,1.0453937408611258
2011-04-19,1.0699122611185115,1.0581838730581847,1.0679223932893198,1.094055786653942,1.0677415293758634
2011-04-20,1.0707763071416934,1.0598967649609925,1.0735713458386555,1.1039426874530185,1.078247299040183
2011-04-21,1.070468810807978,1.0589476408524583,1.0732104451157543,1.1018678498446848,1.0753241872164743
2011-04-25,1.0831150978381596,1.0680048471274834,1.0831667486138328,1.112994876745611,1.0852788182947584
2011-04-26,1.0881261912230722,1.0771415767637622,1.0906047640114007,1.1230624596029262,1.0951549491367922
2011-04-27,1.0936585910821197,1.0814234354120342,1.0938081750377524,1.126972468024172,1.0950263435606835
2011-04-28,1.0911428148826825,1.0823294537677068,1.0944949583771735,1.1309179932227034,1.0968967537130239
2011-04-29,1.0889494191767928,1.0821608013107855,1.0936380984054992,1.12962282411226,1.0907620815888925
2011-05-02,1.087887316499725,1.0810650045239056,1.0912878729592441,1.121375150121323,1.0759722650281867
2011-05-03,1.0844649683448173,1.0739479912008987,1.0838487070093947,1.1099432576331736,1.0634630021206446
2011-05-04,1.0801324515153703,1.0671744313316027,1.080953859804605,1.106422565118172,1.0592746819051613
2011-05-05,1.084025598811933,1.0714103436610876,1.0830858910064363,1.1124575629706095,1.0674548956607661
2011-05-06,1.0840997070330722,1.07471831220001,1.0876944472829688,1.1216254203410234,1.080226393378643
2011-05-09,1.0962602666250438,1.081784960559103,1.0994776938251438,1.1341887775997024,1.0926412352203076
2011-05-10,1.0882595364661316,1.073827361737857,1.089276306346567,1.1209655952695137,1.0773224099841603
2011-05-11,1.093776929742403,1.0817795788884985,1.0974632785807963,1.1286659407021273,1.0814670965102897
2011-05-12,1.0832214403808058,1.073926643697991,1.0846739862712216,1.1198276515998693,1.0707143424649364
2011-05-13,1.0790041046834955,1.0699235060187222,1.081443520660426,1.112277582310583,1.057238580611362
2011-05-16,1.0795435032178096,1.0702836790456038,1.0776099934506516,1.1081223194333132,1.0516530385406486
