,IC
2011-01-03,-0.1839697600047878
2011-01-04,-0.03810579855905709
2011-01-05,-0.1121665788330221
2011-01-06,0.012065327321164212
2011-01-07,0.15394734620266742
2011-01-10,-0.18244819814211538
2011-01-11,-0.19899130270467896
2011-01-12,0.06851774062938915
2011-01-13,-0.05789422687633119
2011-01-14,0.038037492557094855
2011-01-18,-0.06405201792058372
2011-01-19,-0.3142912568420206
2011-01-20,-0.05297919043140952
2011-01-21,-0.009651239553794311
2011-01-24,0.018796086814209266
2011-01-25,0.28339888053799955
2011-01-26,0.07132267174725616
2011-01-27,-0.15009287901797805
2011-01-28,0.18906811361816925
2011-01-31,0.071979968374933
2011-02-01,0.026197760915005096
2011-02-02,0.045006335466276914
2011-02-03,0.14851151886791
2011-02-04,0.040018294812904455
2011-02-07,0.03736841978301881
2011-02-08,0.11982010777291867
2011-02-09,0.2212593983677846
2011-02-10,0.2774471497476788
2011-02-11,0.15690130444660216
2011-02-14,-0.11677705910275435
2011-02-15,0.11552512389044715
2011-02-16,-0.0864260865147127
2011-02-17,-0.07373476530832439
2011-02-18,-0.214462307325924
2011-02-22,-0.19494188234917703
2011-02-23,0.1629027533378276
2011-02-24,0.2079451165735296
2011-02-25,-0.07864972080577934
2011-02-28,-0.21239470997831184
2011-03-01,0.10780416434418612
2011-03-02,0.20083654749450333
2011-03-03,0.06187870084915935
2011-03-04,-0.25053239794220783
2011-03-07,-0.08419263644267103
2011-03-08,-0.19953559850603342
2011-03-09,-0.12091500071795439
2011-03-10,0.07221072846890257
2011-03-11,0.07832894024021003
2011-03-14,0.04277145186288718
2011-03-15,0.042970991891886856
2011-03-16,0.05442141621973699
2011-03-17,-0.1296722135259628
2011-03-18,0.3340341497614447
2011-03-21,-0.2238940505515192
2011-03-22,0.12203674789306908
2011-03-23,0.14240016555480353
2011-03-24,0.20162655644560565
2011-03-25,-0.04743885973138612
2011-03-28,0.18397897732630739
2011-03-29,0.05512454203097484
2011-03-30,0.17082415745715207
2011-03-31,-0.009688737733593897
2011-04-01,0.004129290710892324
2011-04-04,0.06387674210945046
2011-04-05,-0.3768345034657345
2011-04-06,-0.033151956828040806
2011-04-07,-0.060240025019231945
2011-04-08,-0.10628486557121426
2011-04-11,-0.1512668611497397
2011-04-12,0.4045146585972878
2011-04-13,0.039658331172130884
2011-04-14,0.06288789421551157
2011-04-15,-0.1437574559890179
2011-04-18,0.10921772343845469
2011-04-19,0.23009198518599122
2011-04-20,0.19763393713863314
2011-04-21,-0.05520597711863102
2011-04-25,-0.1254971840491969
2011-04-26,-0.0203149606110814
2011-04-27,-0.12200303916244175
2011-04-28,0.15995375442510054
2011-04-29,-0.10845973503013535
2011-05-02,-0.35244072995606457
2011-05-03,-0.20775700270430625
2011-05-04,0.030566778607402704
2011-05-05,0.08840162238319124
2011-05-06,0.36794503941600004
2011-05-09,0.03973935811125914
2011-05-10,-0.1898885215093001
2011-05-11,0.007604792422385229
2011-05-12,-0.030214641758239406
2011-05-13,-0.22637383266305297
2011-05-16,-0.18593158588268444
2011-05-17,0.40618233564141903
2011-05-18,0.004885085308827967
2011-05-19,-0.060835129822040965
2011-05-20,-0.1901058582666427
2011-05-23,-0.03276653119190314
2011-05-24,0.3944137439178258
2011-05-25,0.20430568853981787
2011-05-26,-0.05238256957962766
2011-05-27,0.03805020344387523
2011-05-31,-0.06929527932846084
2011-06-01,0.20000179160691214
2011-06-02,-0.05174509097293026
2011-06-03,-0.09934999755045251
2011-06-06,0.1859083964113509
2011-06-07,-0.09942118595444814
2011-06-08,0.1316170825780394
2011-06-09,-0.2542393633763764
2011-06-10,-0.2294468329892057
2011-06-13,0.24837410268362306
2011-06-14,-0.09113878057300992
2011-06-15,-0.30549394325290596
2011-06-16,-0.1809582583247373
2011-06-17,0.17416488653034676
2011-06-20,0.31909439426645236
2011-06-21,0.04742422484461371
2011-06-22,0.15179300524481462
2011-06-23,-0.019017011004990963
2011-06-24,0.1183752955247986
